attacking_type ,defending_type,effectiveness
Normal,Normal,1
Normal,Fighting,1
Normal,Flying,1
Normal,Poison,1
Normal,Ground,1
Normal,Rock,0.5
Normal,Bug,1
Normal,Ghost,0
Normal,Steel,0.5
Normal,Fire,1
Normal,Water,1
Normal,Grass,1
Normal,Electric,1
Normal,Psychic,1
Normal,Ice,1
Normal,Dragon,1
Normal,Dark,1
Normal,Fairy,1
Fighting,Normal,2
Fighting,Fighting,1
Fighting,Flying,0.5
Fighting,Poison,0.5
Fighting,Ground,1
Fighting,Rock,2
Fighting,Bug,0.5
Fighting,Ghost,0
Fighting,Steel,2
Fighting,Fire,1
Fighting,Water,1
Fighting,Grass,1
Fighting,Electric,1
Fighting,Psychic,0.5
Fighting,Ice,2
Fighting,Dragon,1
Fighting,Dark,2
Fighting,Fairy,0.5
Flying,Normal,1
Flying,Fighting,2
Flying,Flying,1
Flying,Poison,1
Flying,Ground,1
Flying,Rock,0.5
Flying,Bug,2
Flying,Ghost,1
Flying,Steel,0.5
Flying,Fire,1
Flying,Water,1
Flying,Grass,2
Flying,Electric,0.5
Flying,Psychic,1
Flying,Ice,1
Flying,Dragon,1
Flying,Dark,1
Flying,Fairy,1
